state,county,permno,ptype,pdate,pdescription,jvalue,jsqfeet,jaddr,jcity,jstate,jzip,jsubdiv,jlotno,aname,aaddr,acity,astate,azip,aphone,atype,aurl,afax,aprimarycontact,aemail,bldcode,units,bldgs,ctype,legal,contractor,caddress,ccity,cstate,czip,cphone,curl,cfax,cprimarycontact,cemail
TX,DALLAS,BLDC-009931-2020,"Churches & Other Religious",2/1/2021,Addition,400000,2989,"265 W PLEASANT RUN RD","CEDAR HILL",TX,75104,,,CONTRACTOR,,,,,,,,,,,"GAIL LUX",,,,,"GAIL LUX","285 UPTOWN BLVD BLDG 100","CEDAR HILL",TX,75104,"(972) 291-5100",,,,
TX,TARRANT,PB20-12383,"Churches & Other Religious",2/10/2021,Renovation,3000000,6271,"800 W 5TH ST","FORT WORTH",TX,76102,,,CONTRACTOR,,,,,,,,,,,"BRYNE CONSTRUCTION SERVICES",,,,,"BRYNE CONSTRUCTION SERVICES","551 E BERRY ST","FORT WORTH",TX,76110-4329,"(817) 335-3394",http://www.tsbyrne.com,"(817) 877-5507",,
TX,TARRANT,PB20-12402,"Churches & Other Religious",2/24/2021,Renovation,2571000,17357,"5023 TRAIL LAKE DR","FORT WORTH",TX,76133,,,CONTRACTOR,,,,,,,,,,,"BIRCH CONSTRUCTION",,,,,"BIRCH CONSTRUCTION","2601 BIRCHLEAF TRL",AUSTIN,TX,78748-1957,"(512) 554-3382",,,"MOHAMMAD BALAPARYA",
TX,DENTON,COM20-08538,"Educational Institution",2/25/2021,,,16697,"6601 CANYON FALLS DR","FLOWER MOUND",TX,76262,,,CONTRACTOR,,,,,,,,,,,"TEGRITY CONTRACTORS",,,,,"TEGRITY CONTRACTORS","106 E UNIVERSITY DR",MCKINNEY,TX,75069-1868,"(972) 562-6060",http://www.tegrity-contractors.com/,"(972) 562-6064","ROGER ROULETTE",roger@tegrity-contractors.com
TX,TARRANT,PB20-05480,"Educational Institution",2/12/2021,,9500000,28576,"5100 WILLIE ST","FORT WORTH",TX,76105,,,CONTRACTOR,,,,,,,,,,,"TURNER CONSTRUCTION",,,,,"TURNER CONSTRUCTION","10100 N CENTRAL EXPRESSWAY 600",DALLAS,TX,75231,"(214) 721-8400",,,,
TX,TARRANT,PB20-05479,"Educational Institution",2/15/2021,,3000000,19444,"5074 WILLIE ST","FORT WORTH",TX,76105,,,CONTRACTOR,,,,,,,,,,,"TURNER CONSTRUCTION",,,,,"TURNER CONSTRUCTION","10100 N CENTRAL EXPRESSWAY 600",DALLAS,TX,75231,"(214) 721-8400",,,,
TX,TARRANT,PB21-02009,"Educational Institution",2/22/2021,Addition,24850000,,"7151 LAKE COUNTRY DR","FORT WORTH",TX,76179,,,CONTRACTOR,,,,,,,,,,,"POGUE CONSTRUCTION",,,,,"POGUE CONSTRUCTION","1512 BRAY CENTRAL DR",MCKINNEY,TX,75069-8264,"(972) 529-9401",http://www.pogueconstruction.com/,"(972) 529-9832",,
TX,DALLAS,BLDC-010960-2020,"Hospital & Other Medical",2/1/2021,Renovation,42000,1440,"642 UPTOWN BLVD # 120","CEDAR HILL",TX,75104,,,CONTRACTOR,,,,,,,,,,,"GAIL LUX",,,,,"GAIL LUX","285 UPTOWN BLVD BLDG 100","CEDAR HILL",TX,75104,"(972) 291-5100",,,,
TX,DALLAS,2103081114,"Hospital & Other Medical",3/8/2021,Renovation,487600,4876,"10707 PRESTON RD",DALLAS,TX,75230,,,CONTRACTOR,,,,,,,,,,,"ROSEWOOD CUSTOM BUILDERS",,,,,"ROSEWOOD CUSTOM BUILDERS","6449 NORWAY RD",DALLAS,TX,75230-5146,"(972) 250-6800",,,,
TX,DALLAS,2103081004,"Hospital & Other Medical",3/18/2021,Renovation,65000,2100,"3507 BONNIE VIEW RD",DALLAS,TX,75216,,,CONTRACTOR,,,,,,,,,,,"BONNER ASSOCIATES CONSTRUCTORS",,,,,"BONNER ASSOCIATES CONSTRUCTORS","737 S R L THORNTON FWY",DALLAS,TX,75203-2904,"(469) 576-3982",http://www.bonnerassoc.net/,,"TIMM BONNER",b.santamaria@ddcteam.com
